id,espanol,shiwilu,intencion,fuente,estado_filtro,detalle_filtro,similitud_labse
GTR_0000,Buenas noches.,MUSU'WA,SAL,generate_then_refine,aprobado,,0.5281
GTR_0001,Hasta luego.,INLLI'TER AWA,SAL,generate_then_refine,aprobado,,0.4627
GTR_0002,"Hola, ¿cómo estás?",MA'PU'SIN PANTE'CHEK,SAL,generate_then_refine,aprobado,,0.6115
GTR_0003,Adiós.,PANTE'CHEK,SAL,generate_then_refine,aprobado,,0.5771
GTR_0004,Hasta mañana.,MUEKTU'KERKER',SAL,generate_then_refine,aprobado,,0.6097
GTR_0005,Bienvenido.,MUWENCHA'KU',SAL,generate_then_refine,aprobado,,0.6776
GTR_0006,Que te vaya bien.,MUEKTU' AWA,SAL,generate_then_refine,aprobado,,0.5417
GTR_0007,Nos vemos mañana.,INLLI'TER MUEKTU',SAL,generate_then_refine,aprobado,,0.6749
GTR_0008,¡Hola a todos!,MA'PU'SIN AWA,SAL,generate_then_refine,aprobado,,0.5715
GTR_0009,Hasta pronto.,INLLI'TER PA'ECHEK,SAL,generate_then_refine,aprobado,,0.5799
GTR_0010,¡Buen día!,MUUKLLI AWA,SAL,generate_then_refine,aprobado,,0.4137
GTR_0011,Me despido.,PANTE'CHEK IK,SAL,generate_then_refine,aprobado,,0.6053
GTR_0012,Saludos.,MA'PU'SIN IK,SAL,generate_then_refine,aprobado,,0.6237
GTR_0013,Que descanses.,MUSU' AWA,SAL,generate_then_refine,aprobado,,0.4978
GTR_0014,Hasta la vista.,PA'ECHEK INLLI',SAL,generate_then_refine,aprobado,,0.6406
GTR_0015,Con permiso.,PANTE' AWA,SAL,generate_then_refine,aprobado,,0.517
GTR_0016,Buenas tardes a todos.,MUER'WA AWA,SAL,generate_then_refine,aprobado,,0.5524
GTR_0017,Nos vemos luego.,INLLI'TER IK,SAL,generate_then_refine,aprobado,,0.4812
GTR_0018,"Hola, buenos días.",MA'PU'SIN MUUKLLI,SAL,generate_then_refine,aprobado,,0.5747
GTR_0019,¡Qué tristeza!,chi musu' enka'lliu,EMO,generate_then_refine,aprobado,,0.6932
GTR_0020,Estoy feliz.,a'sakeklliu wanin,EMO,generate_then_refine,revisar_hablante_nativo,marcador,0.6736
GTR_0021,¡Qué susto!,mushipa' empu'ni,EMO,generate_then_refine,revisar_hablante_nativo,marcador,0.7475
GTR_0022,Me sorprende.,enpu'ni wue'inu,EMO,generate_then_refine,revisar_hablante_nativo,marcador,0.7604
GTR_0023,Qué vergüenza.,ten enka'lliu,EMO,generate_then_refine,aprobado,,0.5981
GTR_0024,¡Estoy asustado!,mushipa' enpu'nipa',EMO,generate_then_refine,revisar_hablante_nativo,marcador,0.7044
GTR_0025,Qué asco.,musu' ikerlli,EMO,generate_then_refine,revisar_hablante_nativo,marcador,0.7241
GTR_0026,Me alegro mucho.,enpu'nipa' a'sakeklliu wanin,EMO,generate_then_refine,revisar_hablante_nativo,marcador,0.7006
GTR_0027,¡Qué miedo!,mushipa' empu'ni ikerlli,EMO,generate_then_refine,revisar_hablante_nativo,marcador,0.6598
GTR_0028,Estoy triste.,enka'lliu wanin,EMO,generate_then_refine,revisar_hablante_nativo,marcador,0.6868
GTR_0029,"¡Ay, qué dolor!",chi ma'pu'su' ikerlli,EMO,generate_then_refine,aprobado,,0.6702
GTR_0030,Me emociona.,a'sakek'llu enpu'ni,EMO,generate_then_refine,revisar_hablante_nativo,marcador,0.7963
GTR_0031,Qué lástima.,ten musu' enka'lliu,EMO,generate_then_refine,aprobado,,0.6893
GTR_0032,¡Estoy contento!,enpu'nipa' a'saka',EMO,generate_then_refine,revisar_hablante_nativo,marcador,0.7778
GTR_0033,Me angustia.,enka'lliu mushipa' wue'inu,EMO,generate_then_refine,revisar_hablante_nativo,marcador,0.7393
GTR_0034,¡Cuánta alegría!,enpu'nipa' a'sakeklliu ikerlli,EMO,generate_then_refine,revisar_hablante_nativo,marcador,0.6605
GTR_0035,"Qué pena, chi.",chi enka'lliu musu',EMO,generate_then_refine,aprobado,,0.711
GTR_0036,Me consuela.,a'sakek'llu sha wanin,EMO,generate_then_refine,revisar_hablante_nativo,marcador,0.6683
