modelo,tecnica,fold,pos,real,prediccion,C
labse,sin_aumento,0,10,AFI,SAL,3.0
labse,sin_aumento,0,17,AFI,AFI,3.0
labse,sin_aumento,0,18,AFI,SAL,3.0
labse,sin_aumento,0,23,AFI,AFI,3.0
labse,sin_aumento,0,28,AFI,AFI,3.0
labse,sin_aumento,0,29,AFI,AFI,3.0
labse,sin_aumento,0,32,AFI,AFI,3.0
labse,sin_aumento,0,41,AFI,AFI,3.0
labse,sin_aumento,0,54,AFI,AFI,3.0
labse,sin_aumento,0,60,AFI,AFI,3.0
labse,sin_aumento,0,62,AFI,AFI,3.0
labse,sin_aumento,0,63,AFI,AFI,3.0
labse,sin_aumento,0,64,AFI,AFI,3.0
labse,sin_aumento,0,67,AFI,AFI,3.0
labse,sin_aumento,0,69,AFI,AFI,3.0
labse,sin_aumento,0,72,AFI,AFI,3.0
labse,sin_aumento,0,75,AFI,SAL,3.0
labse,sin_aumento,0,76,AFI,AFI,3.0
labse,sin_aumento,0,79,AFI,AFI,3.0
labse,sin_aumento,0,80,AFI,AFI,3.0
labse,sin_aumento,0,89,AFI,AFI,3.0
labse,sin_aumento,0,93,AFI,PRG,3.0
labse,sin_aumento,0,100,DES,REQUEST,3.0
labse,sin_aumento,0,106,DES,PRG,3.0
labse,sin_aumento,0,107,DES,DES,3.0
labse,sin_aumento,0,113,DES,DES,3.0
labse,sin_aumento,0,117,DES,REQUEST,3.0
labse,sin_aumento,0,119,DES,REQUEST,3.0
labse,sin_aumento,0,121,DES,PRG,3.0
labse,sin_aumento,0,125,DES,DES,3.0
labse,sin_aumento,0,131,DES,DES,3.0
labse,sin_aumento,0,137,DES,PRG,3.0
labse,sin_aumento,0,138,DES,REQUEST,3.0
labse,sin_aumento,0,141,DES,DES,3.0
labse,sin_aumento,0,154,DES,PRG,3.0
labse,sin_aumento,0,160,DES,REQUEST,3.0
labse,sin_aumento,0,168,DES,PRG,3.0
labse,sin_aumento,0,170,DES,DES,3.0
labse,sin_aumento,0,172,DES,PRG,3.0
labse,sin_aumento,0,175,DES,DES,3.0
labse,sin_aumento,0,179,DES,REQUEST,3.0
labse,sin_aumento,0,180,DES,REQUEST,3.0
labse,sin_aumento,0,183,DES,PRG,3.0
labse,sin_aumento,0,184,DES,DES,3.0
labse,sin_aumento,0,187,DES,PRG,3.0
labse,sin_aumento,0,188,DES,DES,3.0
labse,sin_aumento,0,196,DES,PRG,3.0
labse,sin_aumento,0,198,DES,PRG,3.0
labse,sin_aumento,0,200,EMO,NEG,3.0
labse,sin_aumento,0,201,EMO,EMO,3.0
labse,sin_aumento,0,209,EMO,EMO,3.0
labse,sin_aumento,0,220,EMO,NEG,3.0
labse,sin_aumento,0,221,EMO,EMO,3.0
labse,sin_aumento,0,222,EMO,EMO,3.0
labse,sin_aumento,0,224,EMO,EMO,3.0
labse,sin_aumento,0,232,EMO,AFI,3.0
labse,sin_aumento,0,233,EMO,EMO,3.0
labse,sin_aumento,0,245,EMO,EMO,3.0
labse,sin_aumento,0,246,EMO,EMO,3.0
labse,sin_aumento,0,247,EMO,EMO,3.0
labse,sin_aumento,0,250,EMO,NEG,3.0
labse,sin_aumento,0,260,EMO,AFI,3.0
labse,sin_aumento,0,261,EMO,NEG,3.0
labse,sin_aumento,0,262,EMO,EMO,3.0
labse,sin_aumento,0,269,EMO,NEG,3.0
labse,sin_aumento,0,271,EMO,SAL,3.0
labse,sin_aumento,0,276,EMO,EMO,3.0
labse,sin_aumento,0,278,EMO,NEG,3.0
labse,sin_aumento,0,282,EMO,DES,3.0
labse,sin_aumento,0,287,EMO,EMO,3.0
labse,sin_aumento,0,291,EMO,EMO,3.0
labse,sin_aumento,0,292,EMO,EMO,3.0
labse,sin_aumento,0,301,NEG,DES,3.0
labse,sin_aumento,0,303,NEG,DES,3.0
labse,sin_aumento,0,304,NEG,DES,3.0
labse,sin_aumento,0,309,NEG,DES,3.0
labse,sin_aumento,0,311,NEG,AFI,3.0
labse,sin_aumento,0,312,NEG,PRG,3.0
labse,sin_aumento,0,331,NEG,NEG,3.0
labse,sin_aumento,0,334,NEG,NEG,3.0
labse,sin_aumento,0,341,NEG,NEG,3.0
labse,sin_aumento,0,356,NEG,NEG,3.0
labse,sin_aumento,0,358,NEG,SAL,3.0
labse,sin_aumento,0,364,NEG,NEG,3.0
labse,sin_aumento,0,371,NEG,SAL,3.0
labse,sin_aumento,0,382,NEG,NEG,3.0
labse,sin_aumento,0,387,NEG,AFI,3.0
labse,sin_aumento,0,390,NEG,NEG,3.0
labse,sin_aumento,0,409,PRG,REQUEST,3.0
labse,sin_aumento,0,412,PRG,REQUEST,3.0
labse,sin_aumento,0,414,PRG,REQUEST,3.0
labse,sin_aumento,0,418,PRG,REQUEST,3.0
labse,sin_aumento,0,420,PRG,PRG,3.0
labse,sin_aumento,0,421,PRG,EMO,3.0
labse,sin_aumento,0,422,PRG,PRG,3.0
labse,sin_aumento,0,429,PRG,PRG,3.0
labse,sin_aumento,0,434,PRG,DES,3.0
labse,sin_aumento,0,438,PRG,PRG,3.0
labse,sin_aumento,0,439,PRG,REQUEST,3.0
labse,sin_aumento,0,444,PRG,REQUEST,3.0
labse,sin_aumento,0,448,PRG,REQUEST,3.0
labse,sin_aumento,0,454,PRG,EMO,3.0
labse,sin_aumento,0,465,PRG,DES,3.0
labse,sin_aumento,0,470,PRG,PRG,3.0
labse,sin_aumento,0,471,PRG,PRG,3.0
labse,sin_aumento,0,475,PRG,PRG,3.0
