modelo,tecnica,fold,pos,real,prediccion,C
labse,sin_aumento,0,10,AFI,REQUEST,10.0
labse,sin_aumento,0,17,AFI,AFI,10.0
labse,sin_aumento,0,18,AFI,AFI,10.0
labse,sin_aumento,0,23,AFI,AFI,10.0
labse,sin_aumento,0,28,AFI,REQUEST,10.0
labse,sin_aumento,0,29,AFI,AFI,10.0
labse,sin_aumento,0,32,AFI,AFI,10.0
labse,sin_aumento,0,41,AFI,AFI,10.0
labse,sin_aumento,0,54,AFI,AFI,10.0
labse,sin_aumento,0,60,AFI,AFI,10.0
labse,sin_aumento,0,62,AFI,AFI,10.0
labse,sin_aumento,0,63,AFI,AFI,10.0
labse,sin_aumento,0,64,AFI,AFI,10.0
labse,sin_aumento,0,67,AFI,AFI,10.0
labse,sin_aumento,0,69,AFI,AFI,10.0
labse,sin_aumento,0,72,AFI,AFI,10.0
labse,sin_aumento,0,75,AFI,EMO,10.0
labse,sin_aumento,0,76,AFI,DES,10.0
labse,sin_aumento,0,79,AFI,AFI,10.0
labse,sin_aumento,0,80,AFI,AFI,10.0
labse,sin_aumento,0,89,AFI,AFI,10.0
labse,sin_aumento,0,93,AFI,DES,10.0
labse,sin_aumento,0,100,DES,EMO,10.0
labse,sin_aumento,0,106,DES,DES,10.0
labse,sin_aumento,0,107,DES,EMO,10.0
labse,sin_aumento,0,113,DES,DES,10.0
labse,sin_aumento,0,117,DES,REQUEST,10.0
labse,sin_aumento,0,119,DES,REQUEST,10.0
labse,sin_aumento,0,121,DES,DES,10.0
labse,sin_aumento,0,125,DES,DES,10.0
labse,sin_aumento,0,131,DES,EMO,10.0
labse,sin_aumento,0,137,DES,DES,10.0
labse,sin_aumento,0,138,DES,AFI,10.0
labse,sin_aumento,0,141,DES,DES,10.0
labse,sin_aumento,0,154,DES,NEG,10.0
labse,sin_aumento,0,160,DES,REQUEST,10.0
labse,sin_aumento,0,168,DES,AFI,10.0
labse,sin_aumento,0,170,DES,DES,10.0
labse,sin_aumento,0,172,DES,DES,10.0
labse,sin_aumento,0,175,DES,DES,10.0
labse,sin_aumento,0,179,DES,DES,10.0
labse,sin_aumento,0,180,DES,DES,10.0
labse,sin_aumento,0,183,DES,DES,10.0
labse,sin_aumento,0,184,DES,DES,10.0
labse,sin_aumento,0,187,DES,DES,10.0
labse,sin_aumento,0,188,DES,SAL,10.0
labse,sin_aumento,0,196,DES,AFI,10.0
labse,sin_aumento,0,198,DES,SAL,10.0
labse,sin_aumento,0,200,EMO,NEG,10.0
labse,sin_aumento,0,201,EMO,EMO,10.0
labse,sin_aumento,0,209,EMO,EMO,10.0
labse,sin_aumento,0,220,EMO,DES,10.0
labse,sin_aumento,0,221,EMO,EMO,10.0
labse,sin_aumento,0,222,EMO,EMO,10.0
labse,sin_aumento,0,224,EMO,EMO,10.0
labse,sin_aumento,0,232,EMO,AFI,10.0
labse,sin_aumento,0,233,EMO,EMO,10.0
labse,sin_aumento,0,245,EMO,EMO,10.0
labse,sin_aumento,0,246,EMO,EMO,10.0
labse,sin_aumento,0,247,EMO,EMO,10.0
labse,sin_aumento,0,250,EMO,DES,10.0
labse,sin_aumento,0,260,EMO,DES,10.0
labse,sin_aumento,0,261,EMO,DES,10.0
labse,sin_aumento,0,262,EMO,EMO,10.0
labse,sin_aumento,0,269,EMO,NEG,10.0
labse,sin_aumento,0,271,EMO,DES,10.0
labse,sin_aumento,0,276,EMO,EMO,10.0
labse,sin_aumento,0,278,EMO,NEG,10.0
labse,sin_aumento,0,282,EMO,EMO,10.0
labse,sin_aumento,0,287,EMO,EMO,10.0
labse,sin_aumento,0,291,EMO,EMO,10.0
labse,sin_aumento,0,292,EMO,EMO,10.0
labse,sin_aumento,0,301,NEG,REQUEST,10.0
labse,sin_aumento,0,303,NEG,NEG,10.0
labse,sin_aumento,0,304,NEG,NEG,10.0
labse,sin_aumento,0,309,NEG,NEG,10.0
labse,sin_aumento,0,311,NEG,NEG,10.0
labse,sin_aumento,0,312,NEG,NEG,10.0
labse,sin_aumento,0,331,NEG,NEG,10.0
labse,sin_aumento,0,334,NEG,NEG,10.0
labse,sin_aumento,0,341,NEG,NEG,10.0
labse,sin_aumento,0,356,NEG,NEG,10.0
labse,sin_aumento,0,358,NEG,SAL,10.0
labse,sin_aumento,0,364,NEG,NEG,10.0
labse,sin_aumento,0,371,NEG,SAL,10.0
labse,sin_aumento,0,382,NEG,NEG,10.0
labse,sin_aumento,0,387,NEG,REQUEST,10.0
labse,sin_aumento,0,390,NEG,NEG,10.0
labse,sin_aumento,0,409,PRG,PRG,10.0
labse,sin_aumento,0,412,PRG,PRG,10.0
labse,sin_aumento,0,414,PRG,PRG,10.0
labse,sin_aumento,0,418,PRG,PRG,10.0
labse,sin_aumento,0,420,PRG,PRG,10.0
labse,sin_aumento,0,421,PRG,PRG,10.0
labse,sin_aumento,0,422,PRG,PRG,10.0
labse,sin_aumento,0,429,PRG,PRG,10.0
labse,sin_aumento,0,434,PRG,PRG,10.0
labse,sin_aumento,0,438,PRG,PRG,10.0
labse,sin_aumento,0,439,PRG,PRG,10.0
labse,sin_aumento,0,444,PRG,PRG,10.0
labse,sin_aumento,0,448,PRG,PRG,10.0
labse,sin_aumento,0,454,PRG,PRG,10.0
labse,sin_aumento,0,465,PRG,PRG,10.0
labse,sin_aumento,0,470,PRG,PRG,10.0
labse,sin_aumento,0,471,PRG,PRG,10.0
labse,sin_aumento,0,475,PRG,PRG,10.0
labse,sin_aumento,0,476,PRG,PRG,10.0
labse,sin_aumento,0,478,PRG,PRG,10.0
labse,sin_aumento,0,491,PRG,PRG,10.0
labse,sin_aumento,0,505,REQUEST,REQUEST,10.0
labse,sin_aumento,0,513,REQUEST,NEG,10.0
labse,sin_aumento,0,516,REQUEST,REQUEST,10.0
labse,sin_aumento,0,539,REQUEST,REQUEST,10.0
labse,sin_aumento,0,542,REQUEST,REQUEST,10.0
labse,sin_aumento,0,545,REQUEST,REQUEST,10.0
labse,sin_aumento,0,549,REQUEST,REQUEST,10.0
labse,sin_aumento,0,556,REQUEST,REQUEST,10.0
labse,sin_aumento,0,563,REQUEST,REQUEST,10.0
labse,sin_aumento,0,569,REQUEST,REQUEST,10.0
labse,sin_aumento,0,571,REQUEST,NEG,10.0
labse,sin_aumento,0,578,REQUEST,SAL,10.0
labse,sin_aumento,0,580,REQUEST,REQUEST,10.0
labse,sin_aumento,0,584,REQUEST,REQUEST,10.0
labse,sin_aumento,0,587,REQUEST,REQUEST,10.0
labse,sin_aumento,0,590,REQUEST,PRG,10.0
labse,sin_aumento,0,620,SAL,SAL,10.0
labse,sin_aumento,0,622,SAL,AFI,10.0
labse,sin_aumento,0,623,SAL,SAL,10.0
labse,sin_aumento,0,625,SAL,EMO,10.0
labse,sin_aumento,0,634,SAL,SAL,10.0
labse,sin_aumento,0,639,SAL,SAL,10.0
labse,sin_aumento,0,644,SAL,SAL,10.0
labse,sin_aumento,0,652,SAL,REQUEST,10.0
labse,sin_aumento,0,662,SAL,SAL,10.0
labse,sin_aumento,0,676,SAL,SAL,10.0
labse,sin_aumento,0,682,SAL,SAL,10.0
labse,sin_aumento,0,683,SAL,SAL,10.0
labse,sin_aumento,0,693,SAL,SAL,10.0
labse,sin_aumento,1,1,AFI,DES,10.0
labse,sin_aumento,1,9,AFI,AFI,10.0
labse,sin_aumento,1,11,AFI,AFI,10.0
labse,sin_aumento,1,16,AFI,DES,10.0
labse,sin_aumento,1,21,AFI,DES,10.0
labse,sin_aumento,1,40,AFI,AFI,10.0
labse,sin_aumento,1,46,AFI,AFI,10.0
labse,sin_aumento,1,48,AFI,AFI,10.0
labse,sin_aumento,1,49,AFI,AFI,10.0
labse,sin_aumento,1,51,AFI,AFI,10.0
labse,sin_aumento,1,59,AFI,AFI,10.0
labse,sin_aumento,1,65,AFI,AFI,10.0
labse,sin_aumento,1,81,AFI,DES,10.0
labse,sin_aumento,1,82,AFI,DES,10.0
labse,sin_aumento,1,84,AFI,AFI,10.0
labse,sin_aumento,1,87,AFI,AFI,10.0
labse,sin_aumento,1,95,AFI,EMO,10.0
labse,sin_aumento,1,102,DES,EMO,10.0
labse,sin_aumento,1,110,DES,DES,10.0
labse,sin_aumento,1,111,DES,AFI,10.0
labse,sin_aumento,1,120,DES,REQUEST,10.0
labse,sin_aumento,1,124,DES,REQUEST,10.0
labse,sin_aumento,1,128,DES,DES,10.0
labse,sin_aumento,1,132,DES,SAL,10.0
labse,sin_aumento,1,134,DES,REQUEST,10.0
labse,sin_aumento,1,153,DES,DES,10.0
labse,sin_aumento,1,155,DES,DES,10.0
labse,sin_aumento,1,156,DES,REQUEST,10.0
labse,sin_aumento,1,162,DES,DES,10.0
labse,sin_aumento,1,164,DES,AFI,10.0
labse,sin_aumento,1,165,DES,DES,10.0
labse,sin_aumento,1,166,DES,DES,10.0
labse,sin_aumento,1,169,DES,DES,10.0
labse,sin_aumento,1,176,DES,DES,10.0
labse,sin_aumento,1,177,DES,DES,10.0
labse,sin_aumento,1,185,DES,DES,10.0
labse,sin_aumento,1,189,DES,DES,10.0
labse,sin_aumento,1,197,DES,REQUEST,10.0
labse,sin_aumento,1,199,DES,NEG,10.0
labse,sin_aumento,1,205,EMO,EMO,10.0
labse,sin_aumento,1,207,EMO,EMO,10.0
labse,sin_aumento,1,217,EMO,AFI,10.0
labse,sin_aumento,1,226,EMO,EMO,10.0
labse,sin_aumento,1,227,EMO,EMO,10.0
labse,sin_aumento,1,228,EMO,EMO,10.0
labse,sin_aumento,1,238,EMO,EMO,10.0
labse,sin_aumento,1,243,EMO,DES,10.0
labse,sin_aumento,1,244,EMO,EMO,10.0
labse,sin_aumento,1,258,EMO,EMO,10.0
labse,sin_aumento,1,259,EMO,AFI,10.0
labse,sin_aumento,1,263,EMO,REQUEST,10.0
labse,sin_aumento,1,267,EMO,AFI,10.0
labse,sin_aumento,1,288,EMO,DES,10.0
labse,sin_aumento,1,295,EMO,EMO,10.0
labse,sin_aumento,1,298,EMO,EMO,10.0
labse,sin_aumento,1,313,NEG,NEG,10.0
labse,sin_aumento,1,317,NEG,AFI,10.0
labse,sin_aumento,1,319,NEG,NEG,10.0
labse,sin_aumento,1,320,NEG,NEG,10.0
labse,sin_aumento,1,323,NEG,NEG,10.0
labse,sin_aumento,1,324,NEG,NEG,10.0
labse,sin_aumento,1,327,NEG,DES,10.0
labse,sin_aumento,1,336,NEG,NEG,10.0
labse,sin_aumento,1,350,NEG,NEG,10.0
labse,sin_aumento,1,353,NEG,DES,10.0
labse,sin_aumento,1,360,NEG,AFI,10.0
labse,sin_aumento,1,366,NEG,NEG,10.0
labse,sin_aumento,1,369,NEG,NEG,10.0
labse,sin_aumento,1,391,NEG,NEG,10.0
labse,sin_aumento,1,397,NEG,NEG,10.0
labse,sin_aumento,1,399,NEG,NEG,10.0
labse,sin_aumento,1,403,PRG,PRG,10.0
labse,sin_aumento,1,408,PRG,PRG,10.0
labse,sin_aumento,1,411,PRG,PRG,10.0
labse,sin_aumento,1,435,PRG,PRG,10.0
labse,sin_aumento,1,443,PRG,PRG,10.0
labse,sin_aumento,1,449,PRG,PRG,10.0
labse,sin_aumento,1,450,PRG,PRG,10.0
labse,sin_aumento,1,451,PRG,PRG,10.0
labse,sin_aumento,1,457,PRG,PRG,10.0
labse,sin_aumento,1,460,PRG,PRG,10.0
labse,sin_aumento,1,461,PRG,PRG,10.0
labse,sin_aumento,1,466,PRG,PRG,10.0
labse,sin_aumento,1,468,PRG,PRG,10.0
labse,sin_aumento,1,479,PRG,PRG,10.0
labse,sin_aumento,1,481,PRG,PRG,10.0
labse,sin_aumento,1,484,PRG,PRG,10.0
labse,sin_aumento,1,486,PRG,PRG,10.0
labse,sin_aumento,1,489,PRG,PRG,10.0
labse,sin_aumento,1,493,PRG,PRG,10.0
labse,sin_aumento,1,501,REQUEST,REQUEST,10.0
labse,sin_aumento,1,503,REQUEST,REQUEST,10.0
labse,sin_aumento,1,504,REQUEST,REQUEST,10.0
labse,sin_aumento,1,506,REQUEST,REQUEST,10.0
labse,sin_aumento,1,510,REQUEST,REQUEST,10.0
labse,sin_aumento,1,523,REQUEST,REQUEST,10.0
labse,sin_aumento,1,526,REQUEST,REQUEST,10.0
labse,sin_aumento,1,538,REQUEST,REQUEST,10.0
labse,sin_aumento,1,544,REQUEST,PRG,10.0
labse,sin_aumento,1,553,REQUEST,REQUEST,10.0
labse,sin_aumento,1,555,REQUEST,REQUEST,10.0
labse,sin_aumento,1,561,REQUEST,REQUEST,10.0
labse,sin_aumento,1,566,REQUEST,DES,10.0
labse,sin_aumento,1,567,REQUEST,SAL,10.0
labse,sin_aumento,1,575,REQUEST,SAL,10.0
labse,sin_aumento,1,576,REQUEST,SAL,10.0
labse,sin_aumento,1,582,REQUEST,REQUEST,10.0
labse,sin_aumento,1,583,REQUEST,REQUEST,10.0
labse,sin_aumento,1,586,REQUEST,REQUEST,10.0
labse,sin_aumento,1,593,REQUEST,REQUEST,10.0
labse,sin_aumento,1,594,REQUEST,REQUEST,10.0
labse,sin_aumento,1,595,REQUEST,REQUEST,10.0
labse,sin_aumento,1,598,REQUEST,DES,10.0
labse,sin_aumento,1,599,REQUEST,SAL,10.0
labse,sin_aumento,1,621,SAL,SAL,10.0
labse,sin_aumento,1,626,SAL,SAL,10.0
labse,sin_aumento,1,628,SAL,REQUEST,10.0
labse,sin_aumento,1,635,SAL,SAL,10.0
labse,sin_aumento,1,643,SAL,SAL,10.0
labse,sin_aumento,1,648,SAL,SAL,10.0
labse,sin_aumento,1,650,SAL,SAL,10.0
labse,sin_aumento,1,666,SAL,SAL,10.0
labse,sin_aumento,1,667,SAL,DES,10.0
labse,sin_aumento,1,669,SAL,EMO,10.0
labse,sin_aumento,1,672,SAL,SAL,10.0
labse,sin_aumento,1,673,SAL,SAL,10.0
labse,sin_aumento,1,679,SAL,AFI,10.0
labse,sin_aumento,1,681,SAL,AFI,10.0
labse,sin_aumento,1,688,SAL,SAL,10.0
labse,sin_aumento,1,689,SAL,AFI,10.0
labse,sin_aumento,1,696,SAL,SAL,10.0
labse,sin_aumento,1,697,SAL,SAL,10.0
labse,sin_aumento,2,5,AFI,AFI,10.0
labse,sin_aumento,2,6,AFI,AFI,10.0
labse,sin_aumento,2,12,AFI,SAL,10.0
labse,sin_aumento,2,19,AFI,AFI,10.0
labse,sin_aumento,2,27,AFI,DES,10.0
labse,sin_aumento,2,30,AFI,AFI,10.0
labse,sin_aumento,2,31,AFI,SAL,10.0
labse,sin_aumento,2,34,AFI,SAL,10.0
labse,sin_aumento,2,38,AFI,AFI,10.0
labse,sin_aumento,2,39,AFI,DES,10.0
labse,sin_aumento,2,56,AFI,AFI,10.0
labse,sin_aumento,2,58,AFI,AFI,10.0
labse,sin_aumento,2,68,AFI,AFI,10.0
labse,sin_aumento,2,74,AFI,AFI,10.0
labse,sin_aumento,2,83,AFI,AFI,10.0
labse,sin_aumento,2,85,AFI,NEG,10.0
labse,sin_aumento,2,88,AFI,SAL,10.0
labse,sin_aumento,2,101,DES,DES,10.0
labse,sin_aumento,2,103,DES,DES,10.0
labse,sin_aumento,2,104,DES,DES,10.0
labse,sin_aumento,2,105,DES,PRG,10.0
labse,sin_aumento,2,123,DES,DES,10.0
labse,sin_aumento,2,135,DES,AFI,10.0
labse,sin_aumento,2,136,DES,DES,10.0
labse,sin_aumento,2,148,DES,DES,10.0
labse,sin_aumento,2,150,DES,AFI,10.0
labse,sin_aumento,2,157,DES,SAL,10.0
labse,sin_aumento,2,158,DES,DES,10.0
labse,sin_aumento,2,159,DES,DES,10.0
labse,sin_aumento,2,161,DES,DES,10.0
labse,sin_aumento,2,174,DES,DES,10.0
labse,sin_aumento,2,178,DES,DES,10.0
labse,sin_aumento,2,182,DES,DES,10.0
labse,sin_aumento,2,194,DES,SAL,10.0
labse,sin_aumento,2,195,DES,DES,10.0
labse,sin_aumento,2,203,EMO,EMO,10.0
