id,espanol,intencion,shiwilu,fuente,estado_filtro,detalle_filtro,similitud_labse
RT_0000,Bueno.,AFI,mu'chun,retrotraduccion,aprobado,,0.6766
RT_0001,- Perfecto.,AFI,- u'chimu,retrotraduccion,aprobado,,0.6304
RT_0002,- Sí ..,AFI,- tekinchi,retrotraduccion,aprobado,,0.543
RT_0003,Sí.,AFI,tekinchi,retrotraduccion,aprobado,,0.6109
RT_0004,Obviamente. Y entonces ya hablamos.,AFI,ipa'linchi lunñidek.,retrotraduccion,aprobado,,0.482
RT_0005,"¡Vamos, vamos!",AFI,"¡paker', paker'!",retrotraduccion,aprobado,,0.3998
RT_0006,La atrapé.,AFI,pilli'tulek,retrotraduccion,aprobado,,0.6379
RT_0007,Aceptadas,AFI,tekka'tulli,retrotraduccion,aprobado,,0.77
RT_0008,Así es.,AFI,nu'su' nuka'a,retrotraduccion,aprobado,,0.7962
RT_0009,Eso es correcto.,AFI,nanasa' ñapalli,retrotraduccion,aprobado,,0.6921
RT_0010,Está es cierto.,AFI,ñapalli tekinchi,retrotraduccion,aprobado,,0.6176
RT_0011,"No, gracias, dense prisa.",AFI,"ma'sha, yuspeinetchu, wiuksu'",retrotraduccion,aprobado,,0.5606
RT_0012,Es verdad,AFI,tekinchi,retrotraduccion,aprobado,,0.6109
RT_0013,Así es.,AFI,nu'su' nuka'a,retrotraduccion,aprobado,,0.7962
RT_0014,Bien.,AFI,mupalli,retrotraduccion,aprobado,,0.6217
RT_0015,Buen dicho.,AFI,mukankan nuka'a,retrotraduccion,aprobado,,0.6766
RT_0016,Cómo lo dices?,AFI,¿ma'pu'sin?,retrotraduccion,aprobado,,0.4597
RT_0017,Justo así.,AFI,nu'su' nu'su',retrotraduccion,aprobado,,0.6653
RT_0018,- Lo entiendo.,AFI,lachek'apalek,retrotraduccion,aprobado,,0.7535
RT_0019,Bien,AFI,mu'chun,retrotraduccion,aprobado,,0.6766
RT_0020,Lo sé.,AFI,ñinchitulek,retrotraduccion,aprobado,,0.6335
RT_0021,Estamos bien.,AFI,mupallidek,retrotraduccion,aprobado,,0.6242
RT_0022,Encantada. (Anuarios),AFI,u'chimu,retrotraduccion,aprobado,,0.7204
RT_0023,Lo tomaré.,AFI,pilli'echek,retrotraduccion,aprobado,,0.6865
RT_0024,Sí.,AFI,tekinchi,retrotraduccion,aprobado,,0.6109
RT_0025,"Sí, claro.",AFI,tekinchi,retrotraduccion,aprobado,,0.6109
RT_0026,"- Sí, realmente.",AFI,- tekinchi,retrotraduccion,aprobado,,0.543
RT_0027,"Si, perfecto.",AFI,tekinchi,retrotraduccion,aprobado,,0.6109
RT_0028,"Sí, exacto...",AFI,- tekinchi...,retrotraduccion,aprobado,,0.4221
RT_0029,"¿No tenemos que ir? Sí, lo recibí. - Estoy bien.",AFI,"- ¿pa'a'kawa'su' a'cha? - a'cha, katu'nek.",retrotraduccion,aprobado,,0.2175
RT_0030,Pues claro.,AFI,tekinchi,retrotraduccion,aprobado,,0.6109
RT_0031,"Sí, cierto. La verdad.",AFI,tekinchi. tekinchi,retrotraduccion,aprobado,,0.5447
RT_0032,Si bueno.,AFI,u'chimu,retrotraduccion,aprobado,,0.7204
RT_0033,Debió.,AFI,a'ñapalli,retrotraduccion,aprobado,,0.7285
RT_0034,Sí.,AFI,tekinchi,retrotraduccion,aprobado,,0.6109
RT_0035,Sí. Ya estoy seguro de ello.,AFI,ipa' ñapalek ñapalek lateksu'.,retrotraduccion,aprobado,,0.3832
RT_0036,Por su bien...,AFI,lli'inu...,retrotraduccion,aprobado,,0.5055
RT_0037,"Sí, es justo aquí.",AFI,ma'sha asek ñapalli,retrotraduccion,aprobado,,0.614
RT_0038,"- Sí, encantado.",AFI,- tekinchian,retrotraduccion,aprobado,,0.5402
RT_0039,"Sí, Io sé. Y ahora...",AFI,ipa'la ñinchitulek. ipa'la...,retrotraduccion,aprobado,,0.4338
RT_0040,"- Sí, está bien.",AFI,- tekinchi nuka'a,retrotraduccion,aprobado,,0.568
RT_0041,"Si, bien dicho.",AFI,tekinchi nuka'a,retrotraduccion,aprobado,,0.683
RT_0042,- Así era. Así era.,AFI,- nu'su' ñiwiñi. nu'su' ñiwiñi,retrotraduccion,aprobado,,0.4656
RT_0043,Así es,AFI,nu'su' ñi,retrotraduccion,aprobado,,0.7982
RT_0044,Es cierto.,AFI,tekinchi nuka'a,retrotraduccion,aprobado,,0.683
RT_0045,Así es.,AFI,nu'su' nuka'a,retrotraduccion,aprobado,,0.7962
RT_0046,Así es.,AFI,nu'su' nuka'a,retrotraduccion,aprobado,,0.7962
RT_0047,Lo sé.,AFI,ñinchitulek,retrotraduccion,aprobado,,0.6335
RT_0048,Lo entiéndanme.,AFI,lachek'u,retrotraduccion,aprobado,,0.7304
RT_0049,"Yo ya lo quería, ¿sí?",AFI,"kua ipa' luwantulek, ¿ta'cha?",retrotraduccion,aprobado,,0.3195
RT_0050,Arreglado.,AFI,a'pinta',retrotraduccion,aprobado,,0.6852
RT_0051,He terminado.,AFI,a'ta'wantulek,retrotraduccion,aprobado,,0.7267
RT_0052,He brindis.,AFI,panwalalek,retrotraduccion,aprobado,,0.6537
RT_0053,Ya está hervido.,AFI,ipa' uksu' ñapalli,retrotraduccion,aprobado,,0.7917
RT_0054,Ya llegó el agua.,AFI,ipa' dek'lli deklli,retrotraduccion,aprobado,,0.6755
RT_0055,El fuego ahí está.,AFI,pen nanek ñapalli,retrotraduccion,aprobado,,0.5688
RT_0056,Se nos ve así.,AFI,lli'apalekwa' nu'su'.,retrotraduccion,aprobado,,0.4704
RT_0057,Como tú dijiste.,AFI,kenma tinma'su',retrotraduccion,aprobado,,0.6985
RT_0058,Así nada más.,AFI,nu'su' ma'pu'si'la,retrotraduccion,aprobado,,0.7601
RT_0059,Correcto.,AFI,tekinchi,retrotraduccion,aprobado,,0.6109
RT_0060,. Puedo correr - No!,AFI,¡yennitulek teka'ak!,retrotraduccion,aprobado,,0.3481
RT_0061,Puedo leer.,AFI,yennitulek lun'ak,retrotraduccion,aprobado,,0.7358
RT_0062,Están listos.,AFI,insek'diperpi ñapalama',retrotraduccion,aprobado,,0.5733
RT_0063,Es perfecta.,AFI,u'chimu nuka'a,retrotraduccion,aprobado,,0.749
RT_0064,"Cierto, bien.",AFI,"tekinchi, musu'",retrotraduccion,aprobado,,0.7253
RT_0065,"- Sí, estoy seguro - Si.",AFI,- tekinchi ñinchitulek.,retrotraduccion,aprobado,,0.2938
RT_0066,¡Ayúdeme!,DES,¡katu'pa'u!,retrotraduccion,aprobado,,0.2661
RT_0067,¡Ayuda!,DES,¡katu'pa'!,retrotraduccion,aprobado,,0.3423
RT_0068,¡Lloré!,DES,¡welliek'lek!,retrotraduccion,aprobado,,0.2854
RT_0069,¡Ataquen!,DES,¡pilli'ter'!,retrotraduccion,aprobado,,0.3884
RT_0070,¡Yo pago!,DES,kua panwilektulek,retrotraduccion,aprobado,,0.3912
RT_0071,Me liberé.,DES,yan'wantulek,retrotraduccion,aprobado,,0.503
RT_0072,"Yo yo perdí todo. Ahora, he perdido mi vida.",DES,kui'na kua iñer wer'lek. ipa'li'na ku'la nanpi'nek.,retrotraduccion,revisar_hablante_nativo,semantico(sim=0.043),0.0428
RT_0073,Tom ha saltado,DES,tom indek'lli,retrotraduccion,aprobado,,0.3256
RT_0074,- Lo conseguimos.,DES,- kananer'wa',retrotraduccion,aprobado,,0.46
RT_0075,Hemos tenido que marcharnos.,DES,pa'a'kawa'su' ñapallidek,retrotraduccion,aprobado,,0.5569
RT_0076,Venir aquí,DES,wencher' asek,retrotraduccion,aprobado,,0.4657
RT_0077,- Somos más débiles... - Vamos,DES,wa'danpindek a'pinta' ... - pa'awa',retrotraduccion,aprobado,,0.375
RT_0078,Termínalos de una vez....,DES,a'ta'wanter' enta'la...,retrotraduccion,aprobado,,0.3766
RT_0079,Termina con ello.,DES,a'ta'wanter nanalek,retrotraduccion,aprobado,,0.4391
RT_0080,Él es viejo.,DES,nana taserpiku',retrotraduccion,aprobado,,0.5101
RT_0081,Tienen vino.,DES,vinu' a'ñapallina',retrotraduccion,aprobado,,0.5772
RT_0082,Estaba feliz....,DES,musu' ñapawinek...,retrotraduccion,aprobado,,0.3839
RT_0083,Le gustaba.,DES,iyatuwinek,retrotraduccion,aprobado,,0.3286
RT_0084,Está simulando que come.,DES,luwer'apalli ka'apalli,retrotraduccion,aprobado,,0.4588
RT_0085,Ya llegamos:,DES,ipa' ektu'llidek:,retrotraduccion,aprobado,,0.3432
RT_0086,Me gustan y cocinero.,DES,iyatulek a'ñinchitulek.,retrotraduccion,aprobado,,0.2138
RT_0087,Estoy leyendo.,DES,lunpalek,retrotraduccion,aprobado,,0.2998
RT_0088,Puedo hacerlo yo.,DES,yennitulek nu'tak,retrotraduccion,aprobado,,0.4054
RT_0089,- Confesé el honor.,DES,- luwantulek honra',retrotraduccion,aprobado,,0.3936
RT_0090,-Como un pan.,DES,-ka'apalek ala'sa' pan,retrotraduccion,aprobado,,0.3659
RT_0091,Como la fruta..,DES,ka'apalek wayupi,retrotraduccion,aprobado,,0.3674
RT_0092,Tengo nuevas noticias.,DES,a'ñapalek tawa'su',retrotraduccion,aprobado,,0.5263
RT_0093,Lo escucho.,DES,lauk'apalek,retrotraduccion,aprobado,,0.4401
RT_0094,Me llaman.,DES,peklu'tulek,retrotraduccion,aprobado,,0.385
RT_0095,la he amado.,DES,tantenlek,retrotraduccion,aprobado,,0.3498
RT_0096,"Le perdí, amigo",DES,"a'wer'lek, wila",retrotraduccion,aprobado,,0.4535
RT_0097,Tengo que esconderme.,DES,yumu'a'kasu' ñapalli,retrotraduccion,aprobado,,0.5502
