id_origen,espanol_original,espanol,shiwilu,intencion,fuente
2,Correcto.,Sí.,tekinchi,AFI,retrotraduccion
3,Verdad.,Cierto.,tekinchi,AFI,retrotraduccion
5,Ya.,Sí. Y entonces ya hablamos.,ipa'linchi ipa' lunpalekwa'.,AFI,retrotraduccion
7,Cierto.,"Cierto. ""Ladrones.",tekinchi.,AFI,retrotraduccion
8,Obvio.,Evidentemente.,tekinchi,AFI,retrotraduccion
9,Seguro.,"Ya, ya. . ¿Ya fue así?",- ipa'la. . ¿ ipa' nu'tulek?,AFI,retrotraduccion
10,Dale.,Pasa...,enka'ker',AFI,retrotraduccion
11,Justo.,De acuerdo.,muetchun,AFI,retrotraduccion
12,Confirmado.,Confirmato!,¡ta'ituler'!,AFI,retrotraduccion
14,Aceptado.,Aceptada.,ta'ituler',AFI,retrotraduccion
15,Efectivamente.,Ya lo creo.,ipa' latekapalek,AFI,retrotraduccion
16,Exactamente.,Exacto.,tekinchi,AFI,retrotraduccion
17,Así es.,Es cierto.,tekinchi nuka'a,AFI,retrotraduccion
18,Así mismo.,Cierto.,tekinchi,AFI,retrotraduccion
20,Eso es.,Eso es todo... esto es todo. ¿Con cuidado?,nana iñer... asu' iñer. ¿li'ker'?,AFI,retrotraduccion
21,Eso mismo.,Así es.,nu'su' nuka'a,AFI,retrotraduccion
22,Está correcto.,Muy bien.,mu'chun,AFI,retrotraduccion
23,Todo bien.,Está claro.,latek'la nuka'a,AFI,retrotraduccion
25,Bien dicho.,- Bien dicho.,- mukulli,AFI,retrotraduccion
27,Claro que sí.,Por supuesto lo recuerdo.,tekinchichi'na lli'inutapalek,AFI,retrotraduccion
28,Así nomás.,De manera sin más.,nanadaper a'pinta'.,AFI,retrotraduccion
29,Ya entendí.,Entiendo.,lachek'apalek,AFI,retrotraduccion
30,Ya está.,Se acabó.,ta'wan'tulli,AFI,retrotraduccion
31,Ya sé.,Lo sé.,ñinchitulek,AFI,retrotraduccion
32,Todo correcto.,Bien.,mupalli,AFI,retrotraduccion
33,Con gusto.,Encantado.,ñinchitulek,AFI,retrotraduccion
34,Acepto.,Lo cogeré.,pilli'techek,AFI,retrotraduccion
35,"Confirmado, sí.","Confirmada, sí.","ta'itula'tak, tekinchi",AFI,retrotraduccion
36,"Sí, ya.","Si, claro.",tekinchi,AFI,retrotraduccion
37,"Sí, correcto.","Sí, claro.",tekinchi,AFI,retrotraduccion
38,"Sí, exacto.","- Sí, exacta.",- tekinchi,AFI,retrotraduccion
42,"Sí, listo.","Sí, listo. Sí.",tekdiperpi.,AFI,retrotraduccion
43,"Sí, seguro.","Sí, claro.",tekinchi,AFI,retrotraduccion
44,"Sí, verdad.",Claro.,tekinchi,AFI,retrotraduccion
45,"Sí, cierto.","Sí, está bien.",tekinchi nuka'a,AFI,retrotraduccion
46,"Sí, bien.","Yeah, bien.",tekinchi,AFI,retrotraduccion
47,"Sí, obvio.","Sí, claro.",tekinchi,AFI,retrotraduccion
48,"Sí, dale.","Sí, vamos.","tekka, pa'a",AFI,retrotraduccion
49,"Sí, efectivamente.","Sí, por supuesto.",tekinchi,AFI,retrotraduccion
50,"Sí, confirmo.",Sí lo confirmo.,tekinchilek,AFI,retrotraduccion
51,"Sí, acepto.","Si, lo estoy.",tekinchi ñapalek,AFI,retrotraduccion
52,"Sí, ya entendí.","- Sí, lo cojo.",- tekinchichi'nek,AFI,retrotraduccion
53,"Sí, así nomás.","Si, apenas lo hace yo.","kua, ku'la nu'tulek kua.",AFI,retrotraduccion
54,"Sí, todo bien.",Está bien.,mupalli,AFI,retrotraduccion
55,"Sí, con gusto.",- Sí... encantado de conocerlos.,- a'cha... ñinchitulek luwer'chu.,AFI,retrotraduccion
56,"Sí, ya sé.",- Lo sé.,- ñinchitulek,AFI,retrotraduccion
57,"Sí, muy bien.","Sí, está bien.",tekinchi nuka'a,AFI,retrotraduccion
59,"Sí, bien hecho.","Si , estábien",u'chimu,AFI,retrotraduccion
60,"Sí, eso mismo.","Sí, así es.",tekinchi nuka'a,AFI,retrotraduccion
62,"Sí, ya está.","Si, es eso.",tekinchi nuka'a,AFI,retrotraduccion
63,Es cierto.,Está bien.,mupalli,AFI,retrotraduccion
64,Es exacto.,Así es.,nu'su' nuka'a,AFI,retrotraduccion
65,Así lo haré.,¡Lo haré!,¡nu'techek!,AFI,retrotraduccion
66,Así fue.,Eso es correcto.,nanasa' ñapalli,AFI,retrotraduccion
67,Así es nomás.,Así es como va en la vida.,nu'su' nuka'su' nanpipalli.,AFI,retrotraduccion
68,Ya lo sé.,-Lo sé.,-ñinchitulek,AFI,retrotraduccion
69,Ya lo entendí.,Entiendo! .,¡lachek!,AFI,retrotraduccion
70,Ya lo hice.,Ya lo tengo.,ipa' a'ñapalek,AFI,retrotraduccion
71,Ya terminé.,Terminé.,ta'wantulek,AFI,retrotraduccion
72,Ya cociné.,Yo ya he cocinado.,kua ipa' kalu'tulek,AFI,retrotraduccion
73,Ya molí.,"Bueno, acabo.","enpu'ni, ta'wantulek",AFI,retrotraduccion
74,Ya tosté.,Estoy tostada.,peksa' ñapalek,AFI,retrotraduccion
75,Ya hervió.,Ya está hervido.,ipa' uksu' ñapalli,AFI,retrotraduccion
76,La yuca está.,La manzana está allí.,apalen ñapalli nanek,AFI,retrotraduccion
77,La chicha está.,¡Vinieron las chicas!,¡wencha'llina' wila kuaperlusa'!,AFI,retrotraduccion
78,La leña está.,Allí esta la madera.,nanek ñapalli nalak,AFI,retrotraduccion
79,El agua está.,"Ahí está el agua,","nanek dek'apalli,",AFI,retrotraduccion
80,La olla está.,El calente está hecho. Los ojos muertos están abajo.,ukapisu' ñapalli. lunpi ñapalli.,AFI,retrotraduccion
81,La comida está.,La comida ha llegó.,weranku' ektu'lli,AFI,retrotraduccion
82,El fuego está.,El fuego está aquí.,pen ñapalli asek,AFI,retrotraduccion
83,La chacra está.,La chacra llegó.,panwala ektu'lli,AFI,retrotraduccion
84,El maíz está.,"El maíz, en definitiva, existe!","¡ma'lek, enpu'ni nanpipalli!",AFI,retrotraduccion
85,Todo listo.,Todo establecido.,iñer nu'su',AFI,retrotraduccion
86,Quedamos así.,Así nos vemos.,nu'su' lli'apalekwa'.,AFI,retrotraduccion
87,Dicho y hecho.,Listo.,insekdiperpi,AFI,retrotraduccion
88,Como dijiste.,Como lo dijo.,tullina',AFI,retrotraduccion
89,Tal cual.,"Así, de repente",nu'su' uti'la,AFI,retrotraduccion
90,Justo así.,Así nada más.,nu'su' ma'pu'si'la,AFI,retrotraduccion
91,De acuerdo.,Esta bien.,mupalli,AFI,retrotraduccion
93,Sé correr.,Puedo funcionar.,yennitulek saka'tak,AFI,retrotraduccion
94,Sé leer.,- Sabe leer.,- ñinchitapalli lun'ak,AFI,retrotraduccion
95,Sé nadar.,Ya sé cocinar.,ipa' ñinchitapalek kaluwi'tak,AFI,retrotraduccion
96,Está listo.,- Estoy lista. - ¿En verdad?,insek'diperpi ñapalek.,AFI,retrotraduccion
97,Está perfecto.,Es perfecta.,u'chimu nuka'a,AFI,retrotraduccion
98,Es correcto.,Así esta bien.,nu'su' mupalli,AFI,retrotraduccion
99,"Sí, claro.",Claro.,tekinchi,AFI,retrotraduccion
100,¡Incendio!,¡Fuego!,¡pen!,DES,retrotraduccion
102,¡Socorro! ¡Auxilio!,"""Socorro!",¡katu'pa'!,DES,retrotraduccion
103,¡Auxilio!,Ayuda.,katu'pa',DES,retrotraduccion
104,¡He ganado!,- ¡Gané!,- ¡kana'tulek!,DES,retrotraduccion
105,"¡Oh, no! (masculino)",De acuerdo.,muetchun,DES,retrotraduccion
106,"¡Oh, no! (femenino)","¡Oh, No!",¡ma'sha!,DES,retrotraduccion
107,¡Al ataque!,¡Ataquen!,¡pilli'ter'!,DES,retrotraduccion
108,¡Tengo!,No te preocupes por eso.,yalli'ta nana ma'nen,DES,retrotraduccion
109,Él corrió.,Se ha escapado.,chi'yek'lli,DES,retrotraduccion
111,Salí.,- Tengo que colgar.,- insek'a'kasu' ñapalli,DES,retrotraduccion
112,Perdí. (opuesto de ganar),"Perdí. Se trata sólo de una forma distinta, y... a menudo uno sigue sin su dirección de tráfico y ha roto.","wer'lek. ma'pu'si'la a'pinta' ali'la nu'tulek, ma'pu'si'pa' ali'la a'pinta'pi'la a'pinta'pi'la pa'apalli.",DES,retrotraduccion
113,Tom saltó.,-Tum saltó.,-tum indek'lli,DES,retrotraduccion
114,Tom morirá.,Tom va a morir.,tom chiminchu,DES,retrotraduccion
115,Tom pagará.,Tom lo pagará.,tom panwilek'techu,DES,retrotraduccion
117,Podemos ganar.,"Si, ¡bien!","¡pu'si', ¡mupalli!",DES,retrotraduccion
120,Nos gusta.,Nos gusta una cosa.,ala'sa' luwantullidek ala'sa',DES,retrotraduccion
121,Lo hicimos.,Lo hemos hecho.,nu'tulek'wa',DES,retrotraduccion
122,Debemos irnos.,Tenemos que irnos.,pa'a'kawa'su' ñapalli,DES,retrotraduccion
124,Fracasaremos.,Fallemos,a'perllidek,DES,retrotraduccion
125,Estamos ocupados.,Estamos ocupados. Gracias.,yennichi'nek ñapallidek. yuspeine'kudek,DES,retrotraduccion
