real,prediccion
AFI,SAL
AFI,AFI
AFI,AFI
AFI,AFI
AFI,REQUEST
AFI,AFI
AFI,AFI
AFI,AFI
AFI,DES
AFI,NEG
AFI,AFI
AFI,DES
DES,DES
DES,DES
DES,PRG
DES,AFI
DES,DES
DES,REQUEST
DES,REQUEST
DES,REQUEST
DES,DES
DES,DES
DES,DES
DES,DES
DES,DES
DES,DES
DES,DES
EMO,EMO
EMO,EMO
EMO,DES
EMO,DES
EMO,NEG
EMO,DES
EMO,SAL
EMO,EMO
EMO,SAL
EMO,REQUEST
EMO,NEG
EMO,EMO
EMO,EMO
EMO,EMO
NEG,REQUEST
NEG,DES
NEG,DES
NEG,REQUEST
NEG,NEG
NEG,AFI
NEG,NEG
NEG,SAL
NEG,EMO
NEG,NEG
NEG,NEG
NEG,NEG
NEG,NEG
NEG,NEG
NEG,NEG
NEG,NEG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
REQUEST,REQUEST
REQUEST,REQUEST
REQUEST,REQUEST
REQUEST,REQUEST
REQUEST,REQUEST
REQUEST,EMO
REQUEST,REQUEST
REQUEST,REQUEST
REQUEST,REQUEST
REQUEST,DES
REQUEST,DES
REQUEST,DES
REQUEST,REQUEST
REQUEST,PRG
REQUEST,REQUEST
SAL,SAL
SAL,DES
SAL,SAL
SAL,SAL
SAL,SAL
SAL,SAL
SAL,SAL
SAL,SAL
SAL,SAL
SAL,SAL
SAL,SAL
SAL,AFI
SAL,SAL
