real,prediccion
AFI,EMO
AFI,SAL
AFI,AFI
AFI,AFI
AFI,NEG
AFI,AFI
AFI,AFI
AFI,NEG
AFI,AFI
AFI,NEG
AFI,AFI
AFI,AFI
DES,DES
DES,DES
DES,REQUEST
DES,REQUEST
DES,DES
DES,DES
DES,REQUEST
DES,REQUEST
DES,DES
DES,DES
DES,REQUEST
DES,DES
DES,DES
DES,DES
DES,REQUEST
EMO,EMO
EMO,EMO
EMO,NEG
EMO,NEG
EMO,AFI
EMO,EMO
EMO,NEG
EMO,NEG
EMO,SAL
EMO,NEG
EMO,EMO
EMO,EMO
EMO,DES
EMO,EMO
NEG,EMO
NEG,DES
NEG,NEG
NEG,REQUEST
NEG,NEG
NEG,NEG
NEG,NEG
NEG,NEG
NEG,NEG
NEG,NEG
NEG,AFI
NEG,NEG
NEG,NEG
NEG,NEG
NEG,NEG
NEG,NEG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
PRG,PRG
REQUEST,REQUEST
REQUEST,REQUEST
REQUEST,REQUEST
REQUEST,REQUEST
REQUEST,REQUEST
REQUEST,REQUEST
REQUEST,REQUEST
REQUEST,DES
REQUEST,REQUEST
REQUEST,DES
REQUEST,DES
REQUEST,REQUEST
REQUEST,REQUEST
REQUEST,REQUEST
REQUEST,DES
SAL,REQUEST
SAL,SAL
SAL,SAL
SAL,SAL
SAL,SAL
SAL,SAL
SAL,SAL
SAL,EMO
SAL,SAL
SAL,SAL
SAL,SAL
SAL,NEG
SAL,SAL
