id,espanol,shiwilu,intencion,fuente
AFI_NEW_001,Claro.,tekinchi,AFI,api_generada
AFI_NEW_002,Exacto.,nanapi'la,AFI,api_generada
AFI_NEW_003,Correcto.,Musu',AFI,api_generada
AFI_NEW_004,Verdad.,tekinchi,AFI,api_generada
AFI_NEW_005,Perfecto.,mupalli,AFI,api_generada
AFI_NEW_006,Ya.,IPA',AFI,api_generada
AFI_NEW_007,Listo.,insekdiperpi,AFI,api_generada
AFI_NEW_008,Cierto.,tekinchi,AFI,api_generada
AFI_NEW_009,Obvio.,tekinchi,AFI,api_generada
AFI_NEW_010,Seguro.,musu'  sekdiperpi,AFI,api_generada
AFI_NEW_011,Dale.,enka'ker,AFI,api_generada
AFI_NEW_012,Justo.,nañia'su',AFI,api_generada
AFI_NEW_013,Confirmado.,ipa' tullina',AFI,api_generada
AFI_NEW_014,Entendido.,lachek'lek,AFI,api_generada
AFI_NEW_015,Aceptado.,luwantulli,AFI,api_generada
AFI_NEW_016,Efectivamente.,mupalli,AFI,api_generada
AFI_NEW_017,Exactamente.,nanapi'la,AFI,api_generada
AFI_NEW_018,Así es.,Nu'su'  nuka'a,AFI,api_generada
AFI_NEW_019,Así mismo.,u'su'p'la,AFI,api_generada
AFI_NEW_020,Por supuesto.,tekinchimalek,AFI,api_generada
AFI_NEW_021,Eso es.,nana  nuka'a,AFI,api_generada
AFI_NEW_022,Eso mismo.,"nanapi""la",AFI,api_generada
AFI_NEW_023,Está correcto.,mupalli,AFI,api_generada
AFI_NEW_024,Todo bien.,iñer'  mupalli,AFI,api_generada
AFI_NEW_025,Muy bien.,mupalli,AFI,api_generada
AFI_NEW_026,Bien dicho.,musu'  itula,AFI,api_generada
AFI_NEW_027,Bien hecho.,musu'  nu'pi,AFI,api_generada
AFI_NEW_028,Claro que sí.,tekinchintana,AFI,api_generada
AFI_NEW_029,Así nomás.,u'la'su',AFI,api_generada
AFI_NEW_030,Ya entendí.,ipa'  lachek'lek,AFI,api_generada
AFI_NEW_031,Ya está.,Ipa',AFI,api_generada
AFI_NEW_032,Ya sé.,ipa'  ñinchítulek,AFI,api_generada
AFI_NEW_033,Todo correcto.,iñer'  mupalli,AFI,api_generada
AFI_NEW_034,Con gusto.,tantenamu  katu'pa'palek,AFI,api_generada
AFI_NEW_035,Acepto.,sek'kaper'echen,AFI,api_generada
AFI_NEW_036,"Confirmado, sí.",tekinchi  ajá,AFI,api_generada
AFI_NEW_037,"Sí, ya.",ajá  ipa',AFI,api_generada
AFI_NEW_038,"Sí, correcto.",ajá  mupalli,AFI,api_generada
AFI_NEW_039,"Sí, exacto.",ajá Nañitulli,AFI,api_generada
AFI_NEW_040,"Sí, perfecto.",ajá  musalmin,AFI,api_generada
AFI_NEW_041,"Sí, así es.",ajá  nu'su'  nuka'a,AFI,api_generada
AFI_NEW_042,"Sí, entendido.",ajá. lachek'lek,AFI,api_generada
