,forma_documentada,tipo,match,intencion_esperada,documentacion,df_total_train,intencion_asociada_corpus,cobertura_categoria,cobertura_resto,log_odds,funcion_documentada,fuente,nota
0,i'n,raíz de negación,substr,NEG,documentada,25,NEG,0.2286,0.0212,2.583,Morfema de negación; se combina con el sufijo de persona (i'n+-lli -> i'ñi),JIPA p.100; Voces p.65,"i'ñi = negación + 3SG (coalescencia n+l/ll -> n/ñ, Voces p.72), no morfema único."
1,-inpu',sufijo negativo (nominal),substr,NEG,documentada,8,NEG,0.1,0.0024,3.507,Sufijo negativo; se adhiere a nominales,Voces p.73,Desplazamiento glotal al sufijarse (Voces p.73): la forma superficial puede variar.
2,a'cha,partícula interrogativa,word_final,PRG,documentada,12,PRG,0.169,0.0,5.181,Partícula interrogativa independiente; se liga y fusiona cuando la palabra previa termina en a,JIPA p.103; Voces p.77,Puede aparecer separada (a'cha) o ligada por fusión (...'cha); por eso se busca por final de palabra.
3,a'ta',partícula interrogativa (sorpresa),token,PRG,documentada,0,(no aparece),0.0,0.0,,Partícula interrogativa de sorpresa; mismo comportamiento prosódico que a'cha,JIPA p.103; Voces p.77,También puede ligarse por fusión.
4,interrogativos léxicos,palabra interrogativa léxica,token,PRG,documentada,0,(no aparece),0.0,0.0,,Palabras cuyo significado aporta la interrogación (dónde/de dónde/qué/quién/cómo/qué tipo),"Voces pp.63,65,77; JIPA pp.98,100,103",No son partículas; el rasgo interrogativo es léxico.
5,-ker'/-e'r/-r',imperativo 2SG,word_final,REQUEST,documentada,46,REQUEST,0.3143,0.0566,2.026,Imperativo de 2.ª persona singular; los textos lo regularizan terminado en r',"JIPA p.99; Voces pp.63-64,75",Alternancia r'~r (pierde el rasgo glotal a final de palabra); -wir atestiguado (inpiwir). Formas sin apóstrofo no siempre se capturan.
6,enchuku',cohortativo,token,REQUEST,documentada,0,(no aparece),0.0,0.0,,Forma cohortativa ('vamos'),Voces p.67,"Cohortativo, no imperativo 2SG estricto."
7,chi,partícula de pesar (masc.),token,EMO,parcial,0,(no aparece),0.0,0.0,,Pena o sorpresa del hablante (habla masculina); palabra independiente,JIPA pp.102-103; Voces p.76,Solo como token; 'chi' también aparece como subcadena (no se cuenta ahí).
8,ten,partícula de pesar (fem.),token,EMO,parcial,0,(no aparece),0.0,0.0,,Equivalente femenino de chi (tono bajo),JIPA p.103; Voces p.76,Solo como token.
9,-sha,diminutivo/afectivo,word_final,EMO,parcial,8,NEG,0.0429,0.0118,1.375,Sufijo diminutivo/afectivo; expresa afecto o atenuación,Voces pp.69-70,"Afectivo, no exclusivo de EMO; palatalización opcional (la'pisha -> lla'pisha)."
10,ajá,afirmación,token,AFI,parcial,22,AFI,0.3099,0.0,5.953,Afirmación ('sí'),"Voces pp.60-61,66",
11,ahã,interjección afirmativa,token,AFI,parcial,0,(no aparece),0.0,0.0,,Interjección afirmativa,JIPA p.98,Única aparición de la fricativa laríngea en el corpus del artículo.
12,untana,afirmativo enfático,substr,AFI,parcial,0,(no aparece),0.0,0.0,,Afirmativo enfático (acento inherente),JIPA p.102,
13,i'na,focalizador,token,AFI,parcial,0,(no aparece),0.0,0.0,,Focalizador; palabra independiente que se fusiona tras vocal,"Voces pp.72,75","Focalizador, no afirmación en sentido estricto; puede no mapear limpio a AFI."
14,-sa',delimitativo ('solo'),word_final,AFI,parcial,10,SAL,0.0704,0.0118,1.839,Delimitativo ('solo'); marca foco estrecho,JIPA pp.102-103,"Delimitativo/foco, no afirmación; frecuente en varias categorías -> baja especificidad esperada."
15,ya-,prefijo desiderativo,word_initial,(n/a),(n/a),11,REQUEST,0.1143,0.0071,2.796,Prefijo desiderativo (modalidad de deseo),No figura en la ficha R4 v4; control metodológico,"NO asociar con DES=Descripción: 'desiderativo' es modalidad de deseo, no la categoría del corpus."
