modelo,tecnica,fold,pos,real,prediccion,C
labse,sin_aumento,0,10,AFI,REQUEST,1.0
labse,sin_aumento,0,17,AFI,AFI,1.0
labse,sin_aumento,0,18,AFI,PRG,1.0
labse,sin_aumento,0,23,AFI,AFI,1.0
labse,sin_aumento,0,28,AFI,REQUEST,1.0
labse,sin_aumento,0,29,AFI,AFI,1.0
labse,sin_aumento,0,32,AFI,AFI,1.0
labse,sin_aumento,0,41,AFI,AFI,1.0
labse,sin_aumento,0,54,AFI,AFI,1.0
labse,sin_aumento,0,60,AFI,AFI,1.0
labse,sin_aumento,0,62,AFI,AFI,1.0
labse,sin_aumento,0,63,AFI,PRG,1.0
labse,sin_aumento,0,64,AFI,AFI,1.0
labse,sin_aumento,0,67,AFI,AFI,1.0
labse,sin_aumento,0,69,AFI,AFI,1.0
labse,sin_aumento,0,72,AFI,AFI,1.0
labse,sin_aumento,0,75,AFI,SAL,1.0
labse,sin_aumento,0,76,AFI,AFI,1.0
labse,sin_aumento,0,79,AFI,PRG,1.0
labse,sin_aumento,0,80,AFI,AFI,1.0
labse,sin_aumento,0,89,AFI,AFI,1.0
labse,sin_aumento,0,93,AFI,DES,1.0
labse,sin_aumento,0,100,DES,REQUEST,1.0
labse,sin_aumento,0,106,DES,AFI,1.0
labse,sin_aumento,0,107,DES,NEG,1.0
labse,sin_aumento,0,113,DES,PRG,1.0
labse,sin_aumento,0,117,DES,REQUEST,1.0
labse,sin_aumento,0,119,DES,REQUEST,1.0
labse,sin_aumento,0,121,DES,DES,1.0
labse,sin_aumento,0,125,DES,DES,1.0
labse,sin_aumento,0,131,DES,EMO,1.0
labse,sin_aumento,0,137,DES,PRG,1.0
labse,sin_aumento,0,138,DES,AFI,1.0
labse,sin_aumento,0,141,DES,AFI,1.0
labse,sin_aumento,0,154,DES,NEG,1.0
labse,sin_aumento,0,160,DES,REQUEST,1.0
labse,sin_aumento,0,168,DES,AFI,1.0
labse,sin_aumento,0,170,DES,EMO,1.0
labse,sin_aumento,0,172,DES,PRG,1.0
labse,sin_aumento,0,175,DES,DES,1.0
labse,sin_aumento,0,179,DES,REQUEST,1.0
labse,sin_aumento,0,180,DES,DES,1.0
labse,sin_aumento,0,183,DES,PRG,1.0
labse,sin_aumento,0,184,DES,DES,1.0
labse,sin_aumento,0,187,DES,PRG,1.0
labse,sin_aumento,0,188,DES,SAL,1.0
labse,sin_aumento,0,196,DES,PRG,1.0
labse,sin_aumento,0,198,DES,AFI,1.0
labse,sin_aumento,0,200,EMO,SAL,1.0
labse,sin_aumento,0,201,EMO,DES,1.0
labse,sin_aumento,0,209,EMO,EMO,1.0
labse,sin_aumento,0,220,EMO,DES,1.0
labse,sin_aumento,0,221,EMO,EMO,1.0
labse,sin_aumento,0,222,EMO,EMO,1.0
labse,sin_aumento,0,224,EMO,EMO,1.0
labse,sin_aumento,0,232,EMO,AFI,1.0
labse,sin_aumento,0,233,EMO,PRG,1.0
labse,sin_aumento,0,245,EMO,EMO,1.0
labse,sin_aumento,0,246,EMO,EMO,1.0
labse,sin_aumento,0,247,EMO,EMO,1.0
labse,sin_aumento,0,250,EMO,DES,1.0
labse,sin_aumento,0,260,EMO,PRG,1.0
labse,sin_aumento,0,261,EMO,PRG,1.0
labse,sin_aumento,0,262,EMO,EMO,1.0
labse,sin_aumento,0,269,EMO,NEG,1.0
labse,sin_aumento,0,271,EMO,REQUEST,1.0
labse,sin_aumento,0,276,EMO,EMO,1.0
labse,sin_aumento,0,278,EMO,REQUEST,1.0
labse,sin_aumento,0,282,EMO,SAL,1.0
labse,sin_aumento,0,287,EMO,NEG,1.0
labse,sin_aumento,0,291,EMO,EMO,1.0
labse,sin_aumento,0,292,EMO,EMO,1.0
labse,sin_aumento,0,301,NEG,NEG,1.0
labse,sin_aumento,0,303,NEG,NEG,1.0
labse,sin_aumento,0,304,NEG,NEG,1.0
labse,sin_aumento,0,309,NEG,NEG,1.0
labse,sin_aumento,0,311,NEG,AFI,1.0
labse,sin_aumento,0,312,NEG,NEG,1.0
labse,sin_aumento,0,331,NEG,REQUEST,1.0
labse,sin_aumento,0,334,NEG,NEG,1.0
labse,sin_aumento,0,341,NEG,NEG,1.0
labse,sin_aumento,0,356,NEG,NEG,1.0
labse,sin_aumento,0,358,NEG,REQUEST,1.0
labse,sin_aumento,0,364,NEG,NEG,1.0
labse,sin_aumento,0,371,NEG,SAL,1.0
labse,sin_aumento,0,382,NEG,NEG,1.0
labse,sin_aumento,0,387,NEG,AFI,1.0
labse,sin_aumento,0,390,NEG,NEG,1.0
labse,sin_aumento,0,409,PRG,SAL,1.0
labse,sin_aumento,0,412,PRG,REQUEST,1.0
labse,sin_aumento,0,414,PRG,REQUEST,1.0
labse,sin_aumento,0,418,PRG,AFI,1.0
labse,sin_aumento,0,420,PRG,PRG,1.0
labse,sin_aumento,0,421,PRG,EMO,1.0
labse,sin_aumento,0,422,PRG,PRG,1.0
labse,sin_aumento,0,429,PRG,SAL,1.0
labse,sin_aumento,0,434,PRG,PRG,1.0
labse,sin_aumento,0,438,PRG,PRG,1.0
labse,sin_aumento,0,439,PRG,REQUEST,1.0
labse,sin_aumento,0,444,PRG,AFI,1.0
labse,sin_aumento,0,448,PRG,DES,1.0
labse,sin_aumento,0,454,PRG,PRG,1.0
labse,sin_aumento,0,465,PRG,EMO,1.0
labse,sin_aumento,0,470,PRG,PRG,1.0
labse,sin_aumento,0,471,PRG,PRG,1.0
labse,sin_aumento,0,475,PRG,REQUEST,1.0
labse,sin_aumento,0,476,PRG,PRG,1.0
labse,sin_aumento,0,478,PRG,PRG,1.0
labse,sin_aumento,0,491,PRG,DES,1.0
labse,sin_aumento,0,505,REQUEST,REQUEST,1.0
labse,sin_aumento,0,513,REQUEST,NEG,1.0
labse,sin_aumento,0,516,REQUEST,REQUEST,1.0
labse,sin_aumento,0,539,REQUEST,PRG,1.0
labse,sin_aumento,0,542,REQUEST,REQUEST,1.0
labse,sin_aumento,0,545,REQUEST,PRG,1.0
labse,sin_aumento,0,549,REQUEST,REQUEST,1.0
labse,sin_aumento,0,556,REQUEST,REQUEST,1.0
labse,sin_aumento,0,563,REQUEST,DES,1.0
labse,sin_aumento,0,569,REQUEST,REQUEST,1.0
