,forma_documentada,tipo,documentacion,intencion_asociada_corpus,intencion_esperada,cobertura_categoria,cobertura_resto,log_odds,funcion_documentada,interpretacion,nota
0,i'n,raíz de negación,documentada,NEG,NEG,0.2286,0.0212,2.583,Morfema de negación; se combina con el sufijo de persona (i'n+-lli -> i'ñi),Coincidencia directa con literatura,"i'ñi = negación + 3SG (coalescencia n+l/ll -> n/ñ, Voces p.72), no morfema único."
1,-inpu',sufijo negativo (nominal),documentada,NEG,NEG,0.1,0.0024,3.507,Sufijo negativo; se adhiere a nominales,Coincidencia directa con literatura,Desplazamiento glotal al sufijarse (Voces p.73): la forma superficial puede variar.
2,a'cha,partícula interrogativa,documentada,PRG,PRG,0.169,0.0,5.181,Partícula interrogativa independiente; se liga y fusiona cuando la palabra previa termina en a,Coincidencia directa con literatura,Puede aparecer separada (a'cha) o ligada por fusión (...'cha); por eso se busca por final de palabra.
3,a'ta',partícula interrogativa (sorpresa),documentada,(no aparece),PRG,0.0,0.0,,Partícula interrogativa de sorpresa; mismo comportamiento prosódico que a'cha,No interpretable lingüísticamente con la evidencia disponible,También puede ligarse por fusión.
4,interrogativos léxicos,palabra interrogativa léxica,documentada,(no aparece),PRG,0.0,0.0,,Palabras cuyo significado aporta la interrogación (dónde/de dónde/qué/quién/cómo/qué tipo),No interpretable lingüísticamente con la evidencia disponible,No son partículas; el rasgo interrogativo es léxico.
5,-ker'/-e'r/-r',imperativo 2SG,documentada,REQUEST,REQUEST,0.3143,0.0566,2.026,Imperativo de 2.ª persona singular; los textos lo regularizan terminado en r',Coincidencia directa con literatura,Alternancia r'~r (pierde el rasgo glotal a final de palabra); -wir atestiguado (inpiwir). Formas sin apóstrofo no siempre se capturan.
6,enchuku',cohortativo,documentada,(no aparece),REQUEST,0.0,0.0,,Forma cohortativa ('vamos'),No interpretable lingüísticamente con la evidencia disponible,"Cohortativo, no imperativo 2SG estricto."
7,chi,partícula de pesar (masc.),parcial,(no aparece),EMO,0.0,0.0,,Pena o sorpresa del hablante (habla masculina); palabra independiente,No interpretable lingüísticamente con la evidencia disponible,Solo como token; 'chi' también aparece como subcadena (no se cuenta ahí).
8,ten,partícula de pesar (fem.),parcial,(no aparece),EMO,0.0,0.0,,Equivalente femenino de chi (tono bajo),No interpretable lingüísticamente con la evidencia disponible,Solo como token.
9,-sha,diminutivo/afectivo,parcial,NEG,EMO,0.0429,0.0118,1.375,Sufijo diminutivo/afectivo; expresa afecto o atenuación,No interpretable lingüísticamente con la evidencia disponible,"Afectivo, no exclusivo de EMO; palatalización opcional (la'pisha -> lla'pisha)."
10,ajá,afirmación,parcial,AFI,AFI,0.3099,0.0,5.953,Afirmación ('sí'),Coincidencia directa con literatura,
11,ahã,interjección afirmativa,parcial,(no aparece),AFI,0.0,0.0,,Interjección afirmativa,No interpretable lingüísticamente con la evidencia disponible,Única aparición de la fricativa laríngea en el corpus del artículo.
12,untana,afirmativo enfático,parcial,(no aparece),AFI,0.0,0.0,,Afirmativo enfático (acento inherente),No interpretable lingüísticamente con la evidencia disponible,
13,i'na,focalizador,parcial,(no aparece),AFI,0.0,0.0,,Focalizador; palabra independiente que se fusiona tras vocal,No interpretable lingüísticamente con la evidencia disponible,"Focalizador, no afirmación en sentido estricto; puede no mapear limpio a AFI."
14,-sa',delimitativo ('solo'),parcial,SAL,AFI,0.0704,0.0118,1.839,Delimitativo ('solo'); marca foco estrecho,Patrón empírico no documentado en las fuentes revisadas (asociado a otra categoría),"Delimitativo/foco, no afirmación; frecuente en varias categorías -> baja especificidad esperada."
15,ya-,prefijo desiderativo,(n/a),REQUEST,(n/a),0.1143,0.0071,2.796,Prefijo desiderativo (modalidad de deseo),Marcador documentado; no aplica asociación con categoría del corpus (p. ej. ya- desiderativo),"NO asociar con DES=Descripción: 'desiderativo' es modalidad de deseo, no la categoría del corpus."
